DATA_ZESTAWIENIA;TYP_SUBSKRYBENTA;TYP_KREDYTU;LICZBA_KREDYTOW;KWOTA_KREDYTOW;KWOTA_DO_SPLATY;LICZBA_KREDYTOW_DEF01;LICZBA_KREDYTOW_DEF30;LICZBA_KREDYTOW_DEF90;KWOTA_DO_SPLATY_DEF01;KWOTA_DO_SPLATY_DEF30;KWOTA_DO_SPLATY_DEF90;LICZBA_KLIENTOW;LICZBA_KLIENTOW_DEF2
2017-06-30 00:00:00;;Karty kredytowe;6489316,99999999999999999999999999999999;;13207235337;;355872,999999999999999999999999999999998;292983;;1228718921;1068877281;;
2017-06-30 00:00:00;;Limity;6135083,99999999999999999999999999999903;;10075770645,8646999999999999999999999999;;259035;239412;;1127940728,9038;1058907255,9038;;
2017-06-30 00:00:00;;Mieszkaniowe;2292263,9999999999999999999999999999922;;407372354385,932935999999999999999999995;;44661,9999999999999999999999999999999997;32172,9999999999999999999999999999999997;;15489922452,677672;12287189043,870056;;
2017-06-30 00:00:00;;Po¿yczki pozabankowe;753570;;1700967964;;257003;182085;;624216426;435817802;;
2017-06-30 00:00:00;;Ratalne;4651023,99999999999999999999999999999974;;16629932602,397404;;331682;289302;;2420999403,4507;2257564409,1076;;
2017-07-31 00:00:00;;Gotówkowe;7663596,999999999999999999999999999999;;130760169403,248996;;1058977,99999999999999999999999999999992;937591,999999999999999999999999999999936;;21633694451,10071;19039325506,0774;;
2017-07-31 00:00:00;;Karty kredytowe;6473876,99999999999999999999999999999999;;13282862207;;354416,999999999999999999999999999999999;292567;;1254356968;1085868781;;
2017-07-31 00:00:00;;Limity;6136402,99999999999999999999999999999903;;10216601058,0530999999999999999999999998;;263969;240751;;1142022390,052;1065154720,052;;
2017-07-31 00:00:00;;Mieszkaniowe;2298867,9999999999999999999999999999922;;404863138425,209560000000000000000000019;;45519,9999999999999999999999999999999996;32506,9999999999999999999999999999999997;;15645842946,906372;12259109797,597382;;
2017-07-31 00:00:00;;Po¿yczki pozabankowe;780193;;1789713837;;262646;187919;;652546142;460809825;;
2017-07-31 00:00:00;;Ratalne;4650812,99999999999999999999999999999973;;16678369750,548132;;337906,999999999999999999999999999999999;292027;;2487930601,5231;2280492813,4118;;
2017-08-31 00:00:00;;Gotówkowe;7707395,999999999999999999999999999999;;131655238704,252092;;1058688,99999999999999999999999999999992;937647,999999999999999999999999999999937;;21523351606,355694;18959850704,793094;;
