DATA_UMOWY;TYP_SUBSKRYBENTA;TYP_KREDYTU;LICZBA_KREDYTOW;KWOTA_KREDYTOW
2018-03-01 00:00:00;;Po¿yczki pozabankowe;221874;580480825
2018-03-01 00:00:00;;Ratalne;306290;1251633461
2018-04-01 00:00:00;;Gotówkowe;332554;6084779453
2018-04-01 00:00:00;;Karty kredytowe;83764;484582925
2018-04-01 00:00:00;;Limity;57382;275944919
2018-04-01 00:00:00;;Mieszkaniowe;20008;4896623230,5697
2018-04-01 00:00:00;;Po¿yczki pozabankowe;209463;532254853
2018-04-01 00:00:00;;Ratalne;282249;1065560765,106
2018-05-01 00:00:00;;Gotówkowe;345263;6065179456
2018-05-01 00:00:00;;Karty kredytowe;88373;498165948
2018-05-01 00:00:00;;Limity;58956;269561987
2018-05-01 00:00:00;;Mieszkaniowe;19100;4722112499,3276
2018-05-01 00:00:00;;Po¿yczki pozabankowe;225149;572820011
2018-05-01 00:00:00;;Ratalne;283661;1065675560
2018-06-01 00:00:00;;Gotówkowe;342562;6234233890
2018-06-01 00:00:00;;Karty kredytowe;94006;540931728
2018-06-01 00:00:00;;Limity;59782;270544851
2018-06-01 00:00:00;;Mieszkaniowe;19732;4963330661,7474
2018-06-01 00:00:00;;Po¿yczki pozabankowe;213545;568297649
2018-06-01 00:00:00;;Ratalne;300362;1167369921
2018-07-01 00:00:00;;Gotówkowe;342554;5987430972,0444
2018-07-01 00:00:00;;Karty kredytowe;80428;501395232
2018-07-01 00:00:00;;Limity;64788;271150564
2018-07-01 00:00:00;;Mieszkaniowe;19458;4920282638,9047
2018-07-01 00:00:00;;Po¿yczki pozabankowe;207656;566650997
2018-07-01 00:00:00;;Ratalne;288831;1144305982
2018-08-01 00:00:00;;Gotówkowe;335284;5844062628
2018-08-01 00:00:00;;Karty kredytowe;77515;491567272
2018-08-01 00:00:00;;Limity;65386;273744257
2018-08-01 00:00:00;;Mieszkaniowe;18552;4745419763,4568
2018-08-01 00:00:00;;Po¿yczki pozabankowe;217668;607445374
2018-08-01 00:00:00;;Ratalne;310971;1179171842
2018-09-01 00:00:00;;Gotówkowe;307322;5779583177
2018-09-01 00:00:00;;Karty kredytowe;72614;482219869
2018-09-01 00:00:00;;Limity;57387;232410835
2018-09-01 00:00:00;;Mieszkaniowe;18335;4711723718,0665
2018-09-01 00:00:00;;Po¿yczki pozabankowe;193895;523476067
2018-09-01 00:00:00;;Ratalne;288996;1059776145
2018-10-01 00:00:00;;Gotówkowe;340290;6416160169
2018-10-01 00:00:00;;Karty kredytowe;84571;558837022
2018-10-01 00:00:00;;Limity;63979;261379289
2018-10-01 00:00:00;;Mieszkaniowe;20581;5300638166,9685
2018-10-01 00:00:00;;Po¿yczki pozabankowe;223784;590501845
2018-10-01 00:00:00;;Ratalne;284802;1111032181
2018-11-01 00:00:00;;Gotówkowe;314302;5804881830
2018-11-01 00:00:00;;Karty kredytowe;96774;558889390
2018-11-01 00:00:00;;Limity;60031;258804471
2018-11-01 00:00:00;;Mieszkaniowe;17661;4544773057,9112
2018-11-01 00:00:00;;Po¿yczki pozabankowe;204509;515700325
2018-11-01 00:00:00;;Ratalne;344762;1314247327
2018-12-01 00:00:00;;Gotówkowe;289441;5096975527
2018-12-01 00:00:00;;Karty kredytowe;94027;512500214
2018-12-01 00:00:00;;Limity;47086;215117454
2018-12-01 00:00:00;;Mieszkaniowe;16069;4200043556,3356
2018-12-01 00:00:00;;Po¿yczki pozabankowe;207099;520315592
2018-12-01 00:00:00;;Ratalne;398032;1388675573
2019-01-01 00:00:00;;Gotówkowe;289611;5543698039
2019-01-01 00:00:00;;Karty kredytowe;88893;585196991
2019-01-01 00:00:00;;Limity;61325;290098775
2019-01-01 00:00:00;;Mieszkaniowe;16346;4294911682,124854
2019-01-01 00:00:00;;Po¿yczki pozabankowe;228038;570572909
2019-01-01 00:00:00;;Ratalne;272611;1130387907
2019-02-01 00:00:00;;Gotówkowe;279494;5795167459
2019-02-01 00:00:00;;Karty kredytowe;101175;606932108
2019-02-01 00:00:00;;Limity;55463;273143924
2019-02-01 00:00:00;;Mieszkaniowe;16799;4387947212,2819
2019-02-01 00:00:00;;Po¿yczki pozabankowe;206666;521145981
2019-02-01 00:00:00;;Ratalne;238759;1026765756
2019-03-01 00:00:00;;Gotówkowe;320887;6687217315,234
2019-03-01 00:00:00;;Karty kredytowe;110154;654218805
2019-03-01 00:00:00;;Limity;55052;272305025
2019-03-01 00:00:00;;Mieszkaniowe;20368;5362978791,946
2019-03-01 00:00:00;;Po¿yczki pozabankowe;226957;589174850
2019-03-01 00:00:00;;Ratalne;273910;1209341288
2019-04-01 00:00:00;;Gotówkowe;347477;6751414039
2019-04-01 00:00:00;;Karty kredytowe;109251;614119261
2019-04-01 00:00:00;;Limity;59254;283004820
2019-04-01 00:00:00;;Mieszkaniowe;21798;5874343001,7958
2019-04-01 00:00:00;;Po¿yczki pozabankowe;226785;580239030
2019-04-01 00:00:00;;Ratalne;280099;1142991506
2019-05-01 00:00:00;;Gotówkowe;350988;6716888015
2019-05-01 00:00:00;;Karty kredytowe;109588;631809115
2019-05-01 00:00:00;;Limity;59995;289928621
2019-05-01 00:00:00;;Mieszkaniowe;21989;5937031599,1719
2019-05-01 00:00:00;;Po¿yczki pozabankowe;229841;594549797
2019-05-01 00:00:00;;Ratalne;271941;1098227262
